"Page","Section","Section Description"
"Home","Navbar",""
"","Hero Header Section","Striking hero with headline, witty subcopy, CTA, and premium lifestyle/product photography for Bee’s Tees."
"","Feature Section","Showcase the featured collection or latest drop with bold visuals and a CTA to shop."
"","Ecommerce Products List Section","Grid of best sellers: highlight top products with images, names, and prices."
"","Stats Section","Impact stats showing dollars donated, orders supporting bees, campaigns launched, and initiatives funded."
"","About Section","Brand story: why Bee’s Tees exists, mission summary, and playful, polished narrative."
"","Features List Section","Category tiles: Tees, Hoodies, Hats, Accessories—each with image and short description."
"","Feature Section","Lifestyle banner with aspirational, on-brand photography and bold, modern text overlay."
"","Testimonial Section","Reviews and social proof from happy customers and community."
"","Newsletter Section","Email signup “Join the Hive”—warm copy and incentive to subscribe."
"","Gallery Section","Instagram and UGC: curated grid of real customers and lifestyle shots featuring Bee’s Tees."
"","Footer",""
"Shop All","Navbar",""
"","Header Section","Page header with bold title (“Shop All”), subcopy reinforcing the brand’s modern-bee mission, and subtle bee/hexagon accents."
"","Ecommerce Products List Section","Full product grid showcasing all available apparel and accessories with filtering (by size, color, category) and sorting (best sellers, new, price)."
"","CTA Section","Banner CTA to highlight a featured collection or current drop, encouraging browsing of curated edits."
"","Testimonial Section","Customer reviews/social proof carousel to reinforce product quality and brand trust."
"","Newsletter Section","Email signup (“Join the Hive”) to capture interest from shoppers at the end of the page."
"","Footer",""
"Collections","Navbar",""
"","Header Section","Modern, bold page header with headline (""Curated Drops & Collections""), playful subcopy, and subtle bee/hexagon motif."
"","Portfolio List Section","Grid of collection cards (e.g., The Hive Drop, Native Bloom, Worker Bee Essentials), each with collection image, name, and short description."
"","Features List Section","Highlight what makes each collection unique: limited-run drops, premium materials, exclusive designs—one idea per list item."
"","Feature Section","Mission callout: “Every collection supports pollinators—see how each drop is making an impact.”"
"","CTA Section","Banner CTA to shop all products or explore the latest drop."
"","Gallery Section","Lifestyle imagery slider or grid showing products from various collections in real life."
"","Footer",""
"Collection Detail","Navbar",""
"","Portfolio Item Header Section","Collection hero with bold featured imagery, collection name (e.g. ""The Hive Drop""), and a short, modern description."
"","Header Section","Optional secondary header: Collection story or inspiration, emphasizing curation and connection to the bee mission."
"","Ecommerce Products List Section","Grid of all products in this collection, each with image, name, price, and quick add-to-cart."
"","Feature Section","Mission callout specific to this collection (e.g. “Every item in ‘The Hive Drop’ supports urban pollinator gardens.”)."
"","FAQ Section","Relevant FAQs about collection drops, sizing, or limited editions."
"","Testimonial Section","Customer reviews or social proof specific to products in this collection."
"","CTA Section","Strong call-to-action to shop the full collection or explore related collections."
"","Footer",""
"Product Detail","Navbar",""
"","Ecommerce Product Header Section","Product name, short description, price, and premium hero image (gallery starter)."
"","Ecommerce Product Section","Image gallery, size and color selectors, quantity, add to cart button, and mission callout (“This purchase supports pollinator-positive impact.”)."
"","Feature Section","Highlight key product features (e.g., premium fabric, eco-friendly dyes, bee-inspired details)."
"","Features List Section","List fit/size info, care instructions, and style notes."
"","Feature Section","Shipping & returns: summary of delivery, returns, and exchanges policy."
"","Testimonial Section","Customer reviews with ratings and quotes."
"","Ecommerce Products List Section","Related products grid: “You might also like” showing similar or complementary items."
"","Footer",""
